Type,SKU,Name,Slug,Published,Visibility in catalog,Regular price,Categories,Tags,Short description,Description,Meta: _beslock_pvp,Meta: _beslock_product_price_without_installation,Meta: _beslock_installation_type,Meta: _beslock_installation_sku,Meta: _beslock_installation_price,Meta: _beslock_installation_available_cities,Meta: _beslock_installation_consult_target,Meta: _beslock_installation_unavailable_city_message,Meta: _beslock_installation_applies_to
"simple","LPL015","e-Flex","e-flex","1","visible","539000","Cerraduras inteligentes","BESLOCK, instalación opcional","Para puertas con movimiento diario: diseño moderno, acceso cómodo y control sin fricción.","PVP con instalación: COP 689000. Precio producto: COP 539000. Instalación tipo 2: COP 150000.","689000","539000","tipo_2","BESLOCK-INST-TIPO-2","150000","Bogotá|Medellín|Cali|Barranquilla","support-drawer:consult-installation","Para otras ciudades, muestra el precio de instalación pero no habilites selección inmediata. Lleva al cliente a Consultar instalación e indica que puede consultar cobertura cuando tenga número de pedido.",""
"simple","NK21","e-Nova","e-nova","1","visible","332000","Cerraduras inteligentes","BESLOCK, instalación opcional","Privacidad compacta para habitaciones y oficinas donde el acceso personal debe ser simple y seguro.","PVP con instalación: COP 412000. Precio producto: COP 332000. Instalación tipo 1: COP 80000.","412000","332000","tipo_1","BESLOCK-INST-TIPO-1","80000","Bogotá|Medellín|Cali|Barranquilla","support-drawer:consult-installation","Para otras ciudades, muestra el precio de instalación pero no habilites selección inmediata. Lleva al cliente a Consultar instalación e indica que puede consultar cobertura cuando tenga número de pedido.",""
"simple","NF14","e-Orbit","e-orbit","1","visible","1554000","Cerraduras inteligentes","BESLOCK, instalación opcional","Tecnología sin concesiones para ver, validar y controlar cada acceso con la experiencia más completa de BESLOCK.","PVP con instalación: COP 1734000. Precio producto: COP 1554000. Instalación tipo 3: COP 180000.","1734000","1554000","tipo_3","BESLOCK-INST-TIPO-3","180000","Bogotá|Medellín|Cali|Barranquilla","support-drawer:consult-installation","Para otras ciudades, muestra el precio de instalación pero no habilites selección inmediata. Lleva al cliente a Consultar instalación e indica que puede consultar cobertura cuando tenga número de pedido.",""
"simple","P14","e-Prime","e-prime","1","visible","791000","Cerraduras inteligentes","BESLOCK, instalación opcional","Seguridad elegante para hogares y oficinas donde cada entrada necesita orden, control y diseño.","PVP con instalación: COP 941000. Precio producto: COP 791000. Instalación tipo 2: COP 150000.","941000","791000","tipo_2","BESLOCK-INST-TIPO-2","150000","Bogotá|Medellín|Cali|Barranquilla","support-drawer:consult-installation","Para otras ciudades, muestra el precio de instalación pero no habilites selección inmediata. Lleva al cliente a Consultar instalación e indica que puede consultar cobertura cuando tenga número de pedido.",""
"simple","NX5-L","e-Shield","e-shield","1","visible","832000","Cerraduras inteligentes","BESLOCK, instalación opcional","La evolución inteligente de la cerradura tradicional para rejas, portones y accesos exteriores exigentes.","PVP con instalación: COP 982000. Precio producto: COP 832000. Instalación tipo 2: COP 150000.","982000","832000","tipo_2","BESLOCK-INST-TIPO-2","150000","Bogotá|Medellín|Cali|Barranquilla","support-drawer:consult-installation","Para otras ciudades, muestra el precio de instalación pero no habilites selección inmediata. Lleva al cliente a Consultar instalación e indica que puede consultar cobertura cuando tenga número de pedido.",""
"simple","N191A","e-Touch","e-touch","1","visible","355000","Cerraduras inteligentes","BESLOCK, instalación opcional","Una manija inteligente para entrar rápido en espacios compartidos, con una experiencia intuitiva desde el primer día.","PVP con instalación: COP 435000. Precio producto: COP 355000. Instalación tipo 1: COP 80000.","435000","355000","tipo_1","BESLOCK-INST-TIPO-1","80000","Bogotá|Medellín|Cali|Barranquilla","support-drawer:consult-installation","Para otras ciudades, muestra el precio de instalación pero no habilites selección inmediata. Lleva al cliente a Consultar instalación e indica que puede consultar cobertura cuando tenga número de pedido.",""
"simple","BESLOCK-INST-TIPO-1","Instalación BESLOCK tipo 1","instalacion-beslock-tipo-1","1","hidden","80000","Instalaciones BESLOCK","BESLOCK, servicio de instalación","Servicio de instalación para e-Nova y e-Touch en ciudades habilitadas.","Disponible como servicio opcional en Bogotá, Medellín, Cali y Barranquilla. Para otras ciudades, se muestra el precio y se direcciona a Consultar instalación.","","","tipo_1","","80000","Bogotá|Medellín|Cali|Barranquilla","support-drawer:consult-installation","Para otras ciudades, muestra el precio de instalación pero no habilites selección inmediata. Lleva al cliente a Consultar instalación e indica que puede consultar cobertura cuando tenga número de pedido.","e-nova|e-touch"
"simple","BESLOCK-INST-TIPO-2","Instalación BESLOCK tipo 2","instalacion-beslock-tipo-2","1","hidden","150000","Instalaciones BESLOCK","BESLOCK, servicio de instalación","Servicio de instalación para e-Flex, e-Prime y e-Shield en ciudades habilitadas.","Disponible como servicio opcional en Bogotá, Medellín, Cali y Barranquilla. Para otras ciudades, se muestra el precio y se direcciona a Consultar instalación.","","","tipo_2","","150000","Bogotá|Medellín|Cali|Barranquilla","support-drawer:consult-installation","Para otras ciudades, muestra el precio de instalación pero no habilites selección inmediata. Lleva al cliente a Consultar instalación e indica que puede consultar cobertura cuando tenga número de pedido.","e-flex|e-prime|e-shield"
"simple","BESLOCK-INST-TIPO-3","Instalación BESLOCK tipo 3","instalacion-beslock-tipo-3","1","hidden","180000","Instalaciones BESLOCK","BESLOCK, servicio de instalación","Servicio de instalación para e-Orbit en ciudades habilitadas.","Disponible como servicio opcional en Bogotá, Medellín, Cali y Barranquilla. Para otras ciudades, se muestra el precio y se direcciona a Consultar instalación.","","","tipo_3","","180000","Bogotá|Medellín|Cali|Barranquilla","support-drawer:consult-installation","Para otras ciudades, muestra el precio de instalación pero no habilites selección inmediata. Lleva al cliente a Consultar instalación e indica que puede consultar cobertura cuando tenga número de pedido.","e-orbit"
